,title,price,quantity_sold,location,sale_off,reviews,links
16,Bóp nam BNGR-642 da PU in hình cha mẹ siêu đẹp,24.000 ₫,1k+ Đã bán,Vĩnh Long,50% Off,(389),https://www.lazada.vn/products/bop-nam-bngr-642-da-pu-in-hinh-cha-me-sieu-dep-i1263101485.html
17,Ví Nam BOGESI Da PU Nhiều Ngăn Siêu Tiện Lợi VD002,60.174 ₫,721 Đã bán,Hà Nội,45% Off,(146),https://www.lazada.vn/products/vi-nam-bogesi-da-pu-nhieu-ngan-sieu-tien-loi-vd002-i776538022.html
18,"Ví nam Huy Hoàng da cá sấu đan viền móng chân màu đen, nâu đất, nâu đỏ, vàng bò HP2716-17-18-19",196.098 ₫,27 Đã bán,Bình Dương,"51% Off
Áp dụng voucher
Mua 1 giảm 3.000 đ",(27),https://www.lazada.vn/products/vi-nam-huy-hoang-da-ca-sau-dan-vien-mong-chan-mau-den-nau-dat-nau-do-vang-bo-hp2716-17-18-19-i2539890468.html
19,CARTELO Ví Nam Ví Cầm Tay Ví Dài Khóa Kéo Đơn Cho Nam Ví Nam Ví Da Nam Sang Trọng 2022,57.600 ₫,616 Đã bán,Nước ngoài,45% Off,(207),https://www.lazada.vn/products/cartelo-vi-nam-vi-cam-tay-vi-dai-khoa-keo-don-cho-nam-vi-nam-vi-da-nam-sang-trong-2022-i1881389279.html
20,"ví da nam khắc tên, ví nam mini cosmos ,ví nam da thật nhập khẩu thời trang lucaster bảo trì trọn đời 1 đổi 1 trong vòng 12tháng",117.677 ₫,2k+ Đã bán,Hồ Chí Minh,71% Off,(425),https://www.lazada.vn/products/vi-da-nam-khac-ten-vi-nam-mini-cosmos-vi-nam-da-that-nhap-khau-thoi-trang-lucaster-bao-tri-tron-doi-1-doi-1-trong-vong-12thang-i1541274276.html
21,"Bóp ví nam da bò thật 4U cao cấp, có nhiều ngăn đựng tiền lịch lãm F111 (đen - nâu)",149.000 ₫,5k+ Đã bán,Hồ Chí Minh,31% Off,(1737),https://www.lazada.vn/products/bop-vi-nam-da-bo-that-4u-cao-cap-co-nhieu-ngan-dung-tien-lich-lam-f111-den-nau-i103785874.html
22,Ví Nam Dáng Đứng Jolizeon Chất Da Mềm Nhỏ Gọn Nhiều Ngăn 567 Cao Cấp Cực Đẹp - hazo,52.200 ₫,46 Đã bán,Hồ Chí Minh,47% Off,(17),https://www.lazada.vn/products/vi-nam-dang-dung-jolizeon-chat-da-mem-nho-gon-nhieu-ngan-567-cao-cap-cuc-dep-hazo-i2069008208.html
23,"Ví Da Bò Nam Thương Hiệu Cao Cấp Playboy, Ví Da Bò Cầm Tay Họa Tiết Vải Thiều Doanh Nhân Ví Đựng Thẻ Có Khóa Kéo Túi Đựng Điện Thoại, Mới",104.400 ₫,919 Đã bán,Nước ngoài,30% Off,(247),https://www.lazada.vn/products/vi-da-bo-nam-thuong-hieu-cao-cap-playboy-vi-da-bo-cam-tay-hoa-tiet-vai-thieu-doanh-nhan-vi-dung-the-co-khoa-keo-tui-dung-dien-thoai-moi-i1219665501.html
24,"(SÀNH ĐIỆU) Ví nam Baellery D003, ví da nam đẹp, bóp nam, bóp da nam, ví nam cao cấp thời trang, sang trọng, đẳng cấp, phong cách Hàn Quốc, 2 màu nâu và đen - GINKA",54.292 ₫,6k+ Đã bán,Hà Nội,"55% Off
Low Price",(2897),https://www.lazada.vn/products/sanh-dieu-vi-nam-baellery-d003-vi-da-nam-dep-bop-nam-bop-da-nam-vi-nam-cao-cap-thoi-trang-sang-trong-dang-cap-phong-cach-han-quoc-2-mau-nau-va-den-ginka-i342028306.html
25,[Hcm]Ví Da Nam Muy Form Đựng Nhỏ Gọn V186 Cực Đẹp,26.010 ₫,345 Đã bán,Hồ Chí Minh,30% Off,(77),https://www.lazada.vn/products/hcmvi-da-nam-muy-form-dung-nho-gon-v186-cuc-dep-i374492465.html
26,"Ví da nam khắc tên,ví nam mini da thật ,ví nam lucaster phong cách hiện đại trẻ trung,ví nam da cosmos 2 chuẩn leonardo TV007BH 2 năm có hộp",159.000 ₫,2k+ Đã bán,Hồ Chí Minh,62% Off,(377),https://www.lazada.vn/products/vi-da-nam-khac-tenvi-nam-mini-da-that-vi-nam-lucaster-phong-cach-hien-dai-tre-trungvi-nam-da-cosmos-2-chuan-leonardo-tv007bh-2-nam-co-hop-i1643190390.html
27,Playboy Ví Da Nam Mới 2022 Ví Tiền Nhỏ Ví Mỏng Nam Hàng Đầu Mới,34.200 ₫,288 Đã bán,Hồ Chí Minh,46% Off,(59),https://www.lazada.vn/products/playboy-vi-da-nam-moi-2022-vi-tien-nho-vi-mong-nam-hang-dau-moi-i1906345115.html
28,Ví Nam - Bóp Nam Da Bò Thật Đẳng Cấp | Bóp Nam Siêu Bền Đẹp Tặng Kèm Hộp | Ví trơn Xalano,173.172 ₫,4k+ Đã bán,Hồ Chí Minh,44% Off,(361),https://www.lazada.vn/products/vi-nam-bop-nam-da-bo-that-dang-cap-bop-nam-sieu-ben-dep-tang-kem-hop-vi-tron-xalano-i799848377.html
29,Ví Da Nam Màu Nam Cuzdan Danh Mục Đầu Tư Người Portomonee Nhỏ Mini RFID Walet Bỏ Túi Thời Trang Người Vallet,66.202 ₫,292 Đã bán,Nước ngoài,58% Off,(81),https://www.lazada.vn/products/vi-da-nam-mau-nam-cuzdan-danh-muc-dau-tu-nguoi-portomonee-nho-mini-rfid-walet-bo-tui-thoi-trang-nguoi-vallet-i402046704.html
30,"ví nam da bò thật,ví nam,ví da thủ công -BH12 tháng",83.813 ₫,1k+ Đã bán,Hồ Chí Minh,72% Off,(219),https://www.lazada.vn/products/vi-nam-da-bo-thatvi-namvi-da-thu-cong-bh12-thang-i1541190589.html
31,Mới Túi Đeo Chéo nam Hoa Văn Ví Ngắn Mỏng Nhỏ Quái Vật Thẻ Đa Ví-quốc tế,88.900 ₫,213 Đã bán,Nước ngoài,37% Off,(50),https://www.lazada.vn/products/moi-tui-deo-cheo-nam-hoa-van-vi-ngan-mong-nho-quai-vat-the-da-vi-quoc-te-i208489692.html
32,Sanhe Ví Kangaroo Ví Da PU Nam Chống Trộm Chống Từ Tính Có Khóa Kéo Ví Đựng Thẻ Tín Dụng Nhiều Ngăn,110.083 ₫,386 Đã bán,Nước ngoài,38% Off,(104),https://www.lazada.vn/products/sanhe-vi-kangaroo-vi-da-pu-nam-chong-trom-chong-tu-tinh-co-khoa-keo-vi-dung-the-tin-dung-nhieu-ngan-i1886215782.html
33,"Ví nam da bò thật Chakovet V.223 cao cấp, kiểu ví dáng đứng ngăn đựng tiền có khóa kéo và nhiều ngăn đựng thẻ tiện dụng để vừa túi quần, phong cách hiện đại lịch lãm.",119.000 ₫,1k+ Đã bán,Hà Nội,50% Off,(563),https://www.lazada.vn/products/vi-nam-da-bo-that-chakovet-v223-cao-cap-kieu-vi-dang-dung-ngan-dung-tien-co-khoa-keo-va-nhieu-ngan-dung-the-tien-dung-de-vua-tui-quan-phong-cach-hien-dai-lich-lam-i503486500.html
34,"Ví Nam Ví Da Thật Thời Trang Nam Hình Ngựa Ví Nam Đựng Tiền Xu Túi Nam Thật Có Khóa Kéo Ví Gấp Ba, Ví Nam Quà Tặng",241.000 ₫,205 Đã bán,Nước ngoài,38% Off,(57),https://www.lazada.vn/products/vi-nam-vi-da-that-thoi-trang-nam-hinh-ngua-vi-nam-dung-tien-xu-tui-nam-that-co-khoa-keo-vi-gap-ba-vi-nam-qua-tang-i1331797509.html
35,"Ví nam da bò, bóp da nam da thật có nhiều ngăn đựng tiền và thẻ tiện dụng",55.866 ₫,298 Đã bán,Nam Định,63% Off,(82),https://www.lazada.vn/products/vi-nam-da-bo-bop-da-nam-da-that-co-nhieu-ngan-dung-tien-va-the-tien-dung-i1704671722.html
36,"Bóp ví nam da bò thật 4U cao cấp, có nhiều ngăn đựng tiền và thẻ tiện dụng FA240",139.000 ₫,9k+ Đã bán,Hồ Chí Minh,27% Off,(2600),https://www.lazada.vn/products/bop-vi-nam-da-bo-that-4u-cao-cap-co-nhieu-ngan-dung-tien-va-the-tien-dung-fa240-i653222915.html
37,Ví nam da PU mỏng ngắn kẹp tiền gập đôi đựng giấy tờ tùy thân phong cách doanh nhân COD,52.000 ₫,924 Đã bán,Nước ngoài,42% Off,(245),https://www.lazada.vn/products/vi-nam-da-pu-mong-ngan-kep-tien-gap-doi-dung-giay-to-tuy-than-phong-cach-doanh-nhan-cod-i1896022486.html
38,"Ví da nam dáng ngang KASH, bóp nam cao cấp kèm hộp",244.000 ₫,370 Đã bán,Thái Bình,30% Off,(97),https://www.lazada.vn/products/vi-da-nam-dang-ngang-kash-bop-nam-cao-cap-kem-hop-i1078566110.html
39,Ví nam da mềm kiểu dáng mới hàng đẹp V20,27.000 ₫,"9,999+ Đã bán",Hà Nội,46% Off,(1975),https://www.lazada.vn/products/vi-nam-da-mem-kieu-dang-moi-hang-dep-v20-i632260192.html
40,[ 3 NGÀY GIẢM SỐC - GIÁ HỦY DIỆT ] Ví nam da Bò nappa Ép Nhiệt 100% kiểu dáng ngang Sang Trọng - Đẳng Cấp . Bóp nam giá Xưởng có 3 ngăn lớn ( 1 ngăn kéo khóa ) và nhiều ngăn nhỏ ( MẪU H da bò 2 ),145.000 ₫,650 Đã bán,Quảng Ninh,55% Off,(228),https://www.lazada.vn/products/3-ngay-giam-soc-gia-huy-diet-vi-nam-da-bo-nappa-ep-nhiet-100-kieu-dang-ngang-sang-trong-dang-cap-bop-nam-gia-xuong-co-3-ngan-lon-1-ngan-keo-khoa-va-nhieu-ngan-nho-mau-h-da-bo-2-i1240031214.html
